wpackagist-plugin/miniorange-saml-20-single-sign-on	5.2.4	tags/5.2.4
wpackagist-plugin/network-plugin-auditor	1.10.1	tags/1.10.1
wpackagist-plugin/nginx-helper	2.3.3	tags/2.3.3
wpackagist-plugin/pressidium-cookie-consent	1.7.1	tags/1.7.1
wpackagist-plugin/redirection	5.5.2	tags/5.5.2
wpackagist-plugin/redis-cache	2.5.4	tags/2.5.4
wpackagist-plugin/simple-smtp	1.3.3	tags/1.3.3
wpackagist-plugin/simplify-admin-menus	1.3.0	tags/1.3.0
wpackagist-plugin/stream	4.1.1	tags/4.1.1
wpackagist-plugin/user-switching	1.9.1	tags/1.9.1
wpackagist-plugin/username-changer	3.2.2	tags/3.2.2
wpackagist-plugin/varnish-http-purge	5.2.2	tags/5.2.2
wpackagist-plugin/wp-multi-network	2.5.2	tags/2.5.2
wpackagist-plugin/wp-nested-pages	3.2.13	tags/3.2.13
zendframework/zend-diactoros	1.3.3	4d54fde709664562eb63356f0250d527824d05de
